signal_id,timestamp,symbol,side,action,order_type,size,price,limit_price,stop_price,reason,indicator_values,market_data,strategy_state,order_id,notes
SIG_20110915_163000_15,2011-09-15 16:30:00,AAPL,SELL,EXIT,MARKET,7581,14.03427,,,Take Profit: +5.0%,"{""ema_12"": 13.702934048529992, ""ema_26"": 13.574314004922027, ""rsi_14"": 59.54130260426149}","{""open"": 13.979626, ""high"": 14.059268, ""low"": 13.924983, ""close"": 14.03427, ""volume"": 417818712.0}",{},,
SIG_20111012_163000_16,2011-10-12 16:30:00,AAPL,BUY,ENTRY,MARKET,7389,14.363912,,,"EMA Crossover: EMA(12)=13.89 > EMA(26)=13.86, RSI=58.88","{""ema_12"": 13.893969434288707, ""ema_26"": 13.864973779149235, ""rsi_14"": 58.880865145896166}","{""open"": 14.547846, ""high"": 14.616057, ""low"": 14.290696, ""close"": 14.363912, ""volume"": 622284716.0}",{},,
SIG_20111021_163000_17,2011-10-21 16:30:00,AAPL,SELL,EXIT,MARKET,7389,14.031062,,,Stop Loss: -2.0%,"{""ema_12"": 14.297402945415257, ""ema_26"": 14.145971510701028, ""rsi_14"": 48.30816288395184}","{""open"": 14.217846, ""high"": 14.254982, ""low"": 13.955343, ""close"": 14.031062, ""volume"": 621242668.0}",{},,
SIG_20111209_173000_18,2011-12-09 17:30:00,AAPL,BUY,ENTRY,MARKET,7384,14.057847,,,"EMA Crossover: EMA(12)=13.82 > EMA(26)=13.82, RSI=55.33","{""ema_12"": 13.819914904909027, ""ema_26"": 13.817305444982408, ""rsi_14"": 55.33044614379441}","{""open"": 14.030347, ""high"": 14.072844, ""low"": 13.965344, ""close"": 14.057847, ""volume"": 297143408.0}",{},,
SIG_20111214_173000_19,2011-12-14 17:30:00,AAPL,SELL,EXIT,MARKET,7384,13.578199,,,"EMA(12) crosses below EMA(26), Stop Loss: -2.0%","{""ema_12"": 13.81054424689755, ""ema_26"": 13.81554826346848, ""rsi_14"": 44.581587798768055}","{""open"": 13.810699, ""high"": 13.834982, ""low"": 13.488555, ""close"": 13.578199, ""volume"": 407155068.0}",{},,
SIG_20111221_173000_20,2011-12-21 17:30:00,AAPL,BUY,ENTRY,MARKET,7093,14.158738,,,"EMA Crossover: EMA(12)=13.85 > EMA(26)=13.83, RSI=57.96","{""ema_12"": 13.848754265819977, ""ema_26"": 13.825236631838953, ""rsi_14"": 57.95858627267825}","{""open"": 14.167484, ""high"": 14.189273, ""low"": 14.000343, ""close"": 14.158738, ""volume"": 262946944.0}",{},,
SIG_20120105_173000_21,2012-01-05 17:30:00,AAPL,SELL,EXIT,MARKET,7093,14.929629,,,Take Profit: +5.0%,"{""ema_12"": 14.448386215236159, ""ema_26"": 14.200608255316208, ""rsi_14"": 70.24903400841228}","{""open"": 14.819626, ""high"": 14.948201, ""low"": 14.738197, ""close"": 14.929629, ""volume"": 271267432.0}",{},,
SIG_20120612_163000_22,2012-06-12 16:30:00,AAPL,BUY,ENTRY,MARKET,5133,20.577119,,,"EMA Crossover: EMA(12)=20.37 > EMA(26)=20.36, RSI=53.04","{""ema_12"": 20.373379431767475, ""ema_26"": 20.363948694922076, ""rsi_14"": 53.04242130776588}","{""open"": 20.516407, ""high"": 20.593555, ""low"": 20.239264, ""close"": 20.577119, ""volume"": 435580248.0}",{},,
SIG_20120705_163000_23,2012-07-05 16:30:00,AAPL,SELL,EXIT,MARKET,5133,21.783548,,,Take Profit: +5.0%,"{""ema_12"": 20.937447338675547, ""ema_26"": 20.718368364099216, ""rsi_14"": 66.72257137285507}","{""open"": 21.448552, ""high"": 21.940696, ""low"": 21.416046, ""close"": 21.783548, ""volume"": 484381220.00000006}",{},,
SIG_20130326_163000_24,2013-03-26 16:30:00,AAPL,BUY,ENTRY,MARKET,6771,16.469126,,,"EMA Crossover: EMA(12)=16.12 > EMA(26)=16.09, RSI=56.99","{""ema_12"": 16.122787589501144, ""ema_26"": 16.09427477830081, ""rsi_14"": 56.99362929596147}","{""open"": 16.622838, ""high"": 16.637121, ""low"": 16.447485, ""close"": 16.469126, ""volume"": 294293956.0}",{},,
