signal_id,timestamp,symbol,side,action,order_type,size,price,limit_price,stop_price,reason,indicator_values,market_data,strategy_state,order_id,notes
SIG_20221223_173000_107,2022-12-23 17:30:00,MSFT,SELL,EXIT,MARKET,100,238.73,,,EMA crossover detected (Fast: 244.24 < Slow: 244.51),"{""ema_fast"": 244.24288565509937, ""ema_slow"": 244.51034563812019, ""rsi"": 44.0469432337959}","{""open"": 236.11, ""high"": 238.87, ""low"": 233.9428, ""close"": 238.73, ""volume"": 21206982.0}",{},,
SIG_20230126_173000_108,2023-01-26 17:30:00,MSFT,BUY,ENTRY,MARKET,100,248.0,,,"EMA crossover detected (Fast: 239.70 > Slow: 239.02), RSI: 59.42","{""ema_fast"": 239.70307359225322, ""ema_slow"": 239.02483928096987, ""rsi"": 59.41921921750195}","{""open"": 243.65, ""high"": 248.31, ""low"": 242.0, ""close"": 248.0, ""volume"": 33454491.0}",{},,
SIG_20230310_173000_109,2023-03-10 17:30:00,MSFT,SELL,EXIT,MARKET,100,248.59,,,EMA crossover detected (Fast: 252.96 < Slow: 253.14),"{""ema_fast"": 252.9566980341149, ""ema_slow"": 253.1403541606938, ""rsi"": 44.669537715960615}","{""open"": 251.08, ""high"": 252.79, ""low"": 247.6, ""close"": 248.59, ""volume"": 28333930.0}",{},,
SIG_20230314_163000_110,2023-03-14 16:30:00,MSFT,BUY,ENTRY,MARKET,100,260.79,,,"EMA crossover detected (Fast: 254.29 > Slow: 253.76), RSI: 57.55","{""ema_fast"": 254.28722166939588, ""ema_slow"": 253.7604682447649, ""rsi"": 57.54743994733791}","{""open"": 256.75, ""high"": 261.07, ""low"": 255.86, ""close"": 260.79, ""volume"": 33620293.0}",{},,
SIG_20230802_163000_111,2023-08-02 16:30:00,MSFT,SELL,EXIT,MARKET,100,327.5,,,EMA crossover detected (Fast: 338.20 < Slow: 338.33),"{""ema_fast"": 338.2002917708975, ""ema_slow"": 338.331580920113, ""rsi"": 41.891630064016276}","{""open"": 333.63, ""high"": 333.63, ""low"": 326.3551, ""close"": 327.5, ""volume"": 27761257.0}",{},,
SIG_20230907_163000_112,2023-09-07 16:30:00,MSFT,BUY,ENTRY,MARKET,100,329.91,,,"EMA crossover detected (Fast: 328.16 > Slow: 328.04), RSI: 52.40","{""ema_fast"": 328.15526126675604, ""ema_slow"": 328.0369270466873, ""rsi"": 52.40476538333244}","{""open"": 331.29, ""high"": 333.08, ""low"": 329.03, ""close"": 329.91, ""volume"": 18380995.0}",{},,
SIG_20230921_163000_113,2023-09-21 16:30:00,MSFT,SELL,EXIT,MARKET,100,319.53,,,EMA crossover detected (Fast: 328.10 < Slow: 328.83),"{""ema_fast"": 328.096031557037, ""ema_slow"": 328.82703430566215, ""rsi"": 39.54080195050682}","{""open"": 319.26, ""high"": 325.3499, ""low"": 315.0, ""close"": 319.53, ""volume"": 35560362.0}",{},,
SIG_20231011_163000_114,2023-10-11 16:30:00,MSFT,BUY,ENTRY,MARKET,100,332.42,,,"EMA crossover detected (Fast: 324.24 > Slow: 324.18), RSI: 58.89","{""ema_fast"": 324.2406897009459, ""ema_slow"": 324.176324520014, ""rsi"": 58.8913029926969}","{""open"": 331.21, ""high"": 332.82, ""low"": 329.14, ""close"": 332.42, ""volume"": 20063246.0}",{},,
SIG_20240418_163000_115,2024-04-18 16:30:00,MSFT,SELL,EXIT,MARKET,100,404.27,,,EMA crossover detected (Fast: 416.99 < Slow: 417.67),"{""ema_fast"": 416.9919721400086, ""ema_slow"": 417.66879476052435, ""rsi"": 36.80986017248426}","{""open"": 410.63, ""high"": 411.89, ""low"": 403.95, ""close"": 404.27, ""volume"": 21029917.0}",{},,
SIG_20240514_163000_116,2024-05-14 16:30:00,MSFT,BUY,ENTRY,MARKET,100,416.56,,,"EMA crossover detected (Fast: 410.31 > Slow: 410.21), RSI: 55.75","{""ema_fast"": 410.3147246782584, ""ema_slow"": 410.21403361038796, ""rsi"": 55.74594729682776}","{""open"": 412.02, ""high"": 417.49, ""low"": 411.55, ""close"": 416.56, ""volume"": 15109306.0}",{},,
