timestamp,symbol,step_id,step_title,pattern_condition,pattern_found,close,open,high,low,volume,indicator_values,notes
2025-01-31 00:00:00,AAPL,entry_check,Entry Pattern Check - EMA Crossover,EMA_12 crosses above EMA_26,False,234.93743896484375,246.07705979363328,246.07705979363328,232.38896748106293,100959800.0,"{'EMA_12': np.float64(nan), 'EMA_26': np.float64(nan)}",
2025-02-03 00:00:00,AAPL,entry_check,Entry Pattern Check - EMA Crossover,EMA_12 crosses above EMA_26,False,226.98341369628906,228.9545099800506,230.78622201033428,224.68381655532258,73063300.0,"{'EMA_12': np.float64(nan), 'EMA_26': np.float64(nan)}",
2025-02-04 00:00:00,AAPL,entry_check,Entry Pattern Check - EMA Crossover,EMA_12 crosses above EMA_26,False,231.75184631347656,226.2268315478868,232.08036234711574,225.62952690670866,45067300.0,"{'EMA_12': np.float64(nan), 'EMA_26': np.float64(nan)}",
2025-02-05 00:00:00,AAPL,entry_check,Entry Pattern Check - EMA Crossover,EMA_12 crosses above EMA_26,False,231.42333984375,227.50107667347064,231.62243633567465,227.24225275297744,39620300.0,"{'EMA_12': np.float64(nan), 'EMA_26': np.float64(nan)}",
2025-02-06 00:00:00,AAPL,entry_check,Entry Pattern Check - EMA Crossover,EMA_12 crosses above EMA_26,False,232.16995239257812,230.24863411824003,232.74734282564026,229.39250557129796,29925300.0,"{'EMA_12': np.float64(nan), 'EMA_26': np.float64(nan)}",
2025-02-07 00:00:00,AAPL,entry_check,Entry Pattern Check - EMA Crossover,EMA_12 crosses above EMA_26,False,226.60513305664062,231.55275755143822,232.946448173879,226.236788599926,39707200.0,"{'EMA_12': np.float64(nan), 'EMA_26': np.float64(nan)}",
2025-02-10 00:00:00,AAPL,entry_check,Entry Pattern Check - EMA Crossover,EMA_12 crosses above EMA_26,False,226.8741912841797,228.7876615470872,229.80417456619486,226.42572786906877,33115600.0,"{'EMA_12': np.float64(nan), 'EMA_26': np.float64(nan)}",
2025-02-11 00:00:00,AAPL,entry_check,Entry Pattern Check - EMA Crossover,EMA_12 crosses above EMA_26,False,231.8272705078125,227.42233485023965,234.42837673351212,227.3525813044295,53718400.0,"{'EMA_12': np.float64(nan), 'EMA_26': np.float64(nan)}",
2025-02-12 00:00:00,AAPL,entry_check,Entry Pattern Check - EMA Crossover,EMA_12 crosses above EMA_26,False,236.06277465820312,230.41209906543347,236.15247950770552,229.89386689621963,45243300.0,"{'EMA_12': np.float64(nan), 'EMA_26': np.float64(nan)}",
2025-02-13 00:00:00,AAPL,entry_check,Entry Pattern Check - EMA Crossover,EMA_12 crosses above EMA_26,False,240.7069091796875,236.10265815205582,241.5141464162941,234.76722827404518,53614100.0,"{'EMA_12': np.float64(nan), 'EMA_26': np.float64(nan)}",
2025-02-14 00:00:00,AAPL,entry_check,Entry Pattern Check - EMA Crossover,EMA_12 crosses above EMA_26,False,243.7664337158203,240.4278440984732,244.71319316935814,240.1687356269457,40896200.0,"{'EMA_12': np.float64(nan), 'EMA_26': np.float64(nan)}",
2025-02-18 00:00:00,AAPL,entry_check,Entry Pattern Check - EMA Crossover,EMA_12 crosses above EMA_26,False,243.6368865966797,243.31796980618805,244.34445851454996,241.01584434943877,48822500.0,"{'EMA_12': np.float64(233.89546585083008), 'EMA_26': np.float64(nan)}",
2025-02-19 00:00:00,AAPL,entry_check,Entry Pattern Check - EMA Crossover,EMA_12 crosses above EMA_26,False,244.03550720214844,243.8262313730556,245.17162160901916,242.33134319523683,32204200.0,"{'EMA_12': np.float64(235.45547221257135), 'EMA_26': np.float64(nan)}",
2025-02-20 00:00:00,AAPL,entry_check,Entry Pattern Check - EMA Crossover,EMA_12 crosses above EMA_26,False,244.99224853515625,244.10528213544586,245.93900803040836,243.45748811790233,32316900.0,"{'EMA_12': np.float64(236.9226685698921), 'EMA_26': np.float64(nan)}",
