timestamp,symbol,step_id,step_title,pattern_condition,pattern_found,close,open,high,low,volume,indicator_values,notes
2025-01-28 00:00:00,AAPL,entry_check,Entry Pattern Check,EMA_12 crosses above EMA_26 (bullish crossover),False,237.187255859375,229.81063008981926,239.1085741517517,229.77080167884077,75707600.0,"{'ema_12': np.float64(nan), 'ema_26': np.float64(nan)}",
2025-01-29 00:00:00,AAPL,entry_check,Entry Pattern Check,EMA_12 crosses above EMA_26 (bullish crossover),False,238.28228759765625,233.06587511122757,238.78003635891557,232.95636977614706,45486100.0,"{'ema_12': np.float64(nan), 'ema_26': np.float64(nan)}",
2025-01-30 00:00:00,AAPL,entry_check,Entry Pattern Check,EMA_12 crosses above EMA_26 (bullish crossover),False,236.520263671875,237.59540286874542,239.70585285329432,236.14198492507634,55658300.0,"{'ema_12': np.float64(nan), 'ema_26': np.float64(nan)}",
2025-01-31 00:00:00,AAPL,entry_check,Entry Pattern Check,EMA_12 crosses above EMA_26 (bullish crossover),False,234.93743896484375,246.07705979363328,246.07705979363328,232.38896748106293,100959800.0,"{'ema_12': np.float64(nan), 'ema_26': np.float64(nan)}",
2025-02-03 00:00:00,AAPL,entry_check,Entry Pattern Check,EMA_12 crosses above EMA_26 (bullish crossover),False,226.98341369628906,228.9545099800506,230.78622201033428,224.68381655532258,73063300.0,"{'ema_12': np.float64(nan), 'ema_26': np.float64(nan)}",
2025-02-04 00:00:00,AAPL,entry_check,Entry Pattern Check,EMA_12 crosses above EMA_26 (bullish crossover),False,231.75186157226562,226.226846442903,232.08037762753466,225.62954176239768,45067300.0,"{'ema_12': np.float64(nan), 'ema_26': np.float64(nan)}",
2025-02-05 00:00:00,AAPL,entry_check,Entry Pattern Check,EMA_12 crosses above EMA_26 (bullish crossover),False,231.42332458496094,227.50106167329415,231.62242106375825,227.24223776986636,39620300.0,"{'ema_12': np.float64(nan), 'ema_26': np.float64(nan)}",
2025-02-06 00:00:00,AAPL,entry_check,Entry Pattern Check,EMA_12 crosses above EMA_26 (bullish crossover),False,232.16995239257812,230.24863411824003,232.74734282564026,229.39250557129796,29925300.0,"{'ema_12': np.float64(nan), 'ema_26': np.float64(nan)}",
2025-02-07 00:00:00,AAPL,entry_check,Entry Pattern Check,EMA_12 crosses above EMA_26 (bullish crossover),False,226.60513305664062,231.55275755143822,232.946448173879,226.236788599926,39707200.0,"{'ema_12': np.float64(nan), 'ema_26': np.float64(nan)}",
2025-02-10 00:00:00,AAPL,entry_check,Entry Pattern Check,EMA_12 crosses above EMA_26 (bullish crossover),False,226.8741912841797,228.7876615470872,229.80417456619486,226.42572786906877,33115600.0,"{'ema_12': np.float64(nan), 'ema_26': np.float64(nan)}",
2025-02-11 00:00:00,AAPL,entry_check,Entry Pattern Check,EMA_12 crosses above EMA_26 (bullish crossover),False,231.82725524902344,227.4223198813819,234.42836130351915,227.35256634016287,53718400.0,"{'ema_12': np.float64(nan), 'ema_26': np.float64(nan)}",
2025-02-12 00:00:00,AAPL,entry_check,Entry Pattern Check,EMA_12 crosses above EMA_26 (bullish crossover),False,236.06277465820312,230.41209906543347,236.15247950770552,229.89386689621963,45243300.0,"{'ema_12': np.float64(232.55209604899088), 'ema_26': np.float64(nan)}",
2025-02-13 00:00:00,AAPL,entry_check,Entry Pattern Check,EMA_12 crosses above EMA_26 (bullish crossover),False,240.70689392089844,236.10264318513748,241.514131106333,234.7672133917818,53614100.0,"{'ema_12': np.float64(233.80668033697665), 'ema_26': np.float64(nan)}",
2025-02-14 00:00:00,AAPL,entry_check,Entry Pattern Check,EMA_12 crosses above EMA_26 (bullish crossover),False,243.7664337158203,240.4278440984732,244.71319316935814,240.1687356269457,40896200.0,"{'ema_12': np.float64(235.33895008756798), 'ema_26': np.float64(nan)}",
2025-02-18 00:00:00,AAPL,entry_check,Entry Pattern Check,EMA_12 crosses above EMA_26 (bullish crossover),False,243.6368865966797,243.31796980618805,244.34445851454996,241.01584434943877,48822500.0,"{'ema_12': np.float64(236.6155557043544), 'ema_26': np.float64(nan)}",
