signal_id,timestamp,symbol,side,action,order_type,size,price,limit_price,stop_price,reason,indicator_values,market_data,strategy_state,order_id,notes
SIG_20250515_000000_0,2025-05-15 00:00:00,AAPL,BUY,ENTRY,MARKET,100,211.00575256347656,,,Bullish EMA crossover detected: EMA_12 > EMA_26,"{""EMA_12"": 206.11667863010794, ""EMA_26"": 205.76387952731343}","{""open"": 210.506803034962, ""high"": 212.51258988469863, ""low"": 209.0997617101353, ""close"": 211.00575256347656, ""volume"": 45029500.0}","{""in_position"": false}",,
SIG_20250522_000000_1,2025-05-22 00:00:00,AAPL,SELL,EXIT,MARKET,100,200.9369354248047,,,Bearish EMA crossover detected: EMA_12 < EMA_26,"{""EMA_12"": 205.35231705285125, ""EMA_26"": 205.59387725027014}","{""open"": 200.2883071907537, ""high"": 202.32401437172413, ""low"": 199.28041949489233, ""close"": 200.9369354248047, ""volume"": 46742400.0}","{""entry_price"": 211.00575256347656, ""pnl"": -1006.8817138671875, ""pnl_pct"": -4.771821154801403}",,
SIG_20250701_000000_2,2025-07-01 00:00:00,AAPL,BUY,ENTRY,MARKET,100,207.3833770751953,,,Bullish EMA crossover detected: EMA_12 > EMA_26,"{""EMA_12"": 201.70760545042103, ""EMA_26"": 201.44546295053343}","{""open"": 206.23578409144605, ""high"": 209.74839282792448, ""low"": 205.70689884063935, ""close"": 207.3833770751953, ""volume"": 78788900.0}","{""in_position"": false}",,
SIG_20250805_000000_3,2025-08-05 00:00:00,AAPL,SELL,EXIT,MARKET,100,202.49366760253906,,,Bearish EMA crossover detected: EMA_12 < EMA_26,"{""EMA_12"": 207.3650309674285, ""EMA_26"": 207.73089623328005}","{""open"": 202.97265486934364, ""high"": 204.90858140720596, ""low"": 201.73526982787092, ""close"": 202.49366760253906, ""volume"": 44155100.0}","{""entry_price"": 207.3833770751953, ""pnl"": -488.970947265625, ""pnl_pct"": -2.3578116730557874}",,
SIG_20250806_000000_4,2025-08-06 00:00:00,AAPL,BUY,ENTRY,MARKET,100,212.80197143554688,,,Bullish EMA crossover detected: EMA_12 > EMA_26,"{""EMA_12"": 208.20148334713903, ""EMA_26"": 208.10653143344797}","{""open"": 205.19798558200998, ""high"": 214.9275012748427, ""low"": 205.15806109322384, ""close"": 212.80197143554688, ""volume"": 108483100.0}","{""in_position"": false}",,
SIG_20251231_000000_5,2025-12-31 00:00:00,AAPL,SELL,EXIT,MARKET,100,271.8599853515625,,,Bearish EMA crossover detected: EMA_12 < EMA_26,"{""EMA_12"": 273.5914985138993, ""EMA_26"": 273.68148212639653}","{""open"": 273.05999755859375, ""high"": 273.67999267578125, ""low"": 271.75, ""close"": 271.8599853515625, ""volume"": 27293600.0}","{""entry_price"": 212.80197143554688, ""pnl"": 5905.8013916015625, ""pnl_pct"": 27.752568981205616}",,
