time,balance,equity,floating_pnl,used_margin,free_margin,margin_level
2024-01-01 00:00:00,10000.0,10000.0,0,0,10000.0,inf
2024-01-02 00:00:00,10000.0,10000.0,0,0,10000.0,inf
2024-01-03 00:00:00,10000.0,10000.0,0,0,10000.0,inf
2024-01-04 00:00:00,10000.0,10000.0,0,0,10000.0,inf
2024-01-05 00:00:00,10000.0,10000.0,0,0,10000.0,inf
2024-01-06 00:00:00,10000.0,10000.0,0,0,10000.0,inf
2024-01-07 00:00:00,10000.0,10000.0,0,0,10000.0,inf
2024-01-08 00:00:00,10000.0,10000.0,0,0,10000.0,inf
2024-01-09 00:00:00,10000.0,10000.0,0,0,10000.0,inf
2024-01-10 00:00:00,10000.0,10000.0,0,0,10000.0,inf
