datetime,symbol,open,high,low,close,volume
2015-03-21 03:00:00,BTCUSD,261.92,262.49,256.25,260.0,4582.0
2015-03-22 03:00:00,BTCUSD,260.0,272.0,259.24,267.74,5949.0
2015-03-23 03:00:00,BTCUSD,268.28,270.07,259.5,265.94,8628.0
2015-03-24 03:00:00,BTCUSD,265.98,266.52,241.84,245.0,19055.0
2015-03-25 03:00:00,BTCUSD,245.29,250.0,236.4,246.94,12838.0
2015-03-26 03:00:00,BTCUSD,246.99,253.75,244.91,249.23,8352.0
2015-03-27 03:00:00,BTCUSD,249.23,250.52,245.12,247.94,6042.0
2015-03-28 03:00:00,BTCUSD,247.93,253.83,247.25,252.87,5642.0
2015-03-29 03:00:00,BTCUSD,252.91,252.96,239.96,242.0,6660.0
2015-03-30 03:00:00,BTCUSD,242.41,248.86,236.52,247.95,7922.0
2015-03-31 03:00:00,BTCUSD,247.95,248.59,238.55,244.24,8090.0
2015-04-01 03:00:00,BTCUSD,243.93,246.83,239.32,246.69,6169.0
2015-04-02 03:00:00,BTCUSD,246.68,256.96,244.52,253.28,9736.0
2015-04-03 03:00:00,BTCUSD,253.22,256.67,251.23,254.19,5011.0
2015-04-04 03:00:00,BTCUSD,254.19,255.85,250.76,253.7,2736.0
2015-04-05 03:00:00,BTCUSD,253.6,261.0,251.65,260.54,5735.0
2015-04-06 03:00:00,BTCUSD,260.57,262.98,254.0,255.58,5913.0
2015-04-07 03:00:00,BTCUSD,255.54,256.62,251.5,253.72,5966.0
2015-04-08 03:00:00,BTCUSD,253.71,254.96,243.06,244.84,11610.0
2015-04-09 03:00:00,BTCUSD,244.58,246.3,238.47,243.43,7855.0
2015-04-10 03:00:00,BTCUSD,243.75,243.94,231.0,235.99,11521.0
2015-04-11 03:00:00,BTCUSD,235.99,239.42,233.0,236.15,4022.0
2015-04-12 03:00:00,BTCUSD,236.09,237.5,233.42,236.5,3068.0
2015-04-13 03:00:00,BTCUSD,236.42,236.9,219.64,223.15,13895.0
2015-04-14 03:00:00,BTCUSD,222.97,224.79,210.0,215.8,18602.0
2015-04-15 03:00:00,BTCUSD,215.78,222.88,214.05,222.88,9946.0
2015-04-16 03:00:00,BTCUSD,222.83,229.67,222.44,227.5,10844.0
2015-04-17 03:00:00,BTCUSD,227.36,228.29,220.0,222.6,7949.0
2015-04-18 03:00:00,BTCUSD,222.6,224.72,220.32,223.4,4617.0
2015-04-19 03:00:00,BTCUSD,223.35,227.35,221.91,222.54,5892.0
2015-04-20 03:00:00,BTCUSD,222.54,226.51,221.43,224.3,5961.0
2015-04-21 03:00:00,BTCUSD,224.3,236.0,223.91,235.74,9900.0
2015-04-22 03:00:00,BTCUSD,235.71,238.64,229.1,233.45,10664.0
2015-04-23 03:00:00,BTCUSD,233.25,236.22,232.01,235.98,8325.0
2015-04-24 03:00:00,BTCUSD,235.61,236.0,228.0,230.24,8488.0
2015-04-25 03:00:00,BTCUSD,231.04,232.29,225.7,226.12,5264.0
2015-04-26 03:00:00,BTCUSD,226.12,227.26,214.98,219.52,11235.0
2015-04-27 03:00:00,BTCUSD,219.52,229.93,217.52,227.23,13790.0
2015-04-28 03:00:00,BTCUSD,227.17,227.56,221.45,225.16,9328.0
2015-04-29 03:00:00,BTCUSD,225.18,226.99,221.81,225.48,8636.0
2015-04-30 03:00:00,BTCUSD,225.5,240.0,224.6,236.2,12463.0
2015-05-01 03:00:00,BTCUSD,236.47,239.23,230.51,231.0,6632.0
2015-05-02 03:00:00,BTCUSD,231.05,234.9,229.87,233.83,4281.0
2015-05-03 03:00:00,BTCUSD,233.83,242.25,232.31,239.0,4339.0
2015-05-04 03:00:00,BTCUSD,239.73,242.2,236.07,238.34,7462.0
2015-05-05 03:00:00,BTCUSD,238.22,238.78,229.66,235.12,8609.0
2015-05-06 03:00:00,BTCUSD,235.18,235.94,227.01,228.49,8572.0
2015-05-07 03:00:00,BTCUSD,228.34,240.0,227.35,236.87,11033.0
2015-05-08 03:00:00,BTCUSD,236.92,246.57,235.29,243.2,9465.0
2015-05-09 03:00:00,BTCUSD,243.22,247.01,238.62,241.96,5427.0
2015-05-10 03:00:00,BTCUSD,241.83,244.99,238.02,239.13,3461.0
2015-05-11 03:00:00,BTCUSD,239.13,244.51,237.99,241.3,9641.0
2015-05-12 03:00:00,BTCUSD,241.3,242.0,237.54,241.03,8360.0
2015-05-13 03:00:00,BTCUSD,241.03,244.14,235.06,235.97,9294.0
2015-05-14 03:00:00,BTCUSD,235.97,239.7,232.22,237.13,7476.0
2015-05-15 03:00:00,BTCUSD,237.12,239.28,235.12,237.37,4479.0
2015-05-16 03:00:00,BTCUSD,237.39,237.4,234.0,235.66,3048.0
2015-05-17 03:00:00,BTCUSD,235.43,237.0,234.15,235.97,2608.0
2015-05-18 03:00:00,BTCUSD,235.69,236.94,231.44,232.87,7407.0
2015-05-19 03:00:00,BTCUSD,233.03,234.24,230.86,231.4,5468.0
2015-05-20 03:00:00,BTCUSD,231.4,234.86,231.0,234.43,7789.0
2015-05-21 03:00:00,BTCUSD,234.4,236.52,233.75,235.0,4570.0
2015-05-22 03:00:00,BTCUSD,235.0,240.9,232.92,238.99,10419.0
2015-05-23 03:00:00,BTCUSD,238.8,240.67,237.4,237.76,3188.0
2015-05-24 03:00:00,BTCUSD,237.87,241.64,237.66,239.22,2871.0
2015-05-25 03:00:00,BTCUSD,239.69,240.1,233.1,235.59,5585.0
2015-05-26 03:00:00,BTCUSD,235.72,237.96,234.0,235.71,8551.0
2015-05-27 03:00:00,BTCUSD,235.71,237.35,234.0,235.17,8522.0
2015-05-28 03:00:00,BTCUSD,235.32,236.8,234.87,236.46,4954.0
2015-05-29 03:00:00,BTCUSD,236.46,236.52,234.0,236.03,6119.0
2015-05-30 03:00:00,BTCUSD,236.03,236.03,231.0,232.11,4167.0
2015-05-31 03:00:00,BTCUSD,232.11,232.51,228.0,228.91,4312.0
2015-06-01 03:00:00,BTCUSD,228.91,231.2,220.65,223.51,12140.0
2015-06-02 03:00:00,BTCUSD,223.5,226.38,221.34,225.18,7701.0
2015-06-03 03:00:00,BTCUSD,225.17,226.99,222.57,224.27,5771.0
2015-06-04 03:00:00,BTCUSD,224.8,225.98,222.0,222.99,4774.0
2015-06-05 03:00:00,BTCUSD,222.99,225.9,219.03,224.4,8364.0
2015-06-06 03:00:00,BTCUSD,224.4,225.26,223.07,224.99,2742.0
2015-06-07 03:00:00,BTCUSD,224.95,225.48,221.86,222.7,3284.0
2015-06-08 03:00:00,BTCUSD,222.65,229.4,222.31,228.17,8954.0
2015-06-09 03:00:00,BTCUSD,228.05,230.79,226.67,228.7,9088.0
2015-06-10 03:00:00,BTCUSD,228.7,229.75,226.83,227.88,6224.0
2015-06-11 03:00:00,BTCUSD,227.8,229.57,227.25,229.03,4710.0
2015-06-12 03:00:00,BTCUSD,229.14,230.7,228.29,229.4,5858.0
2015-06-13 03:00:00,BTCUSD,229.3,232.04,228.06,231.64,4004.0
2015-06-14 03:00:00,BTCUSD,231.64,234.0,230.94,232.09,3589.0
2015-06-15 03:00:00,BTCUSD,232.08,237.09,231.55,235.92,10479.0
2015-06-16 03:00:00,BTCUSD,236.0,252.05,234.35,250.09,17899.0
2015-06-17 03:00:00,BTCUSD,250.02,257.39,243.2,247.76,16928.0
2015-06-18 03:00:00,BTCUSD,247.76,251.58,240.0,248.4,11106.0
2015-06-19 03:00:00,BTCUSD,248.45,249.93,242.14,243.7,6731.0
2015-06-20 03:00:00,BTCUSD,243.75,245.56,239.93,244.76,4379.0
2015-06-21 03:00:00,BTCUSD,244.65,245.0,241.06,243.64,1894.0
2015-06-22 03:00:00,BTCUSD,243.6,247.99,242.64,246.0,5149.0
2015-06-23 03:00:00,BTCUSD,245.99,247.25,242.14,243.74,4929.0
2015-06-24 03:00:00,BTCUSD,243.85,243.99,238.2,240.19,6714.0
2015-06-25 03:00:00,BTCUSD,240.19,242.9,239.18,241.98,4983.0
2015-06-26 03:00:00,BTCUSD,242.08,243.44,240.0,242.98,5263.0
