datetime,symbol,open,high,low,close,volume
2022-02-25 23:30:00,SPY,436.7,437.84,436.0,437.7,2052370.0
2022-02-28 17:30:00,SPY,432.02,437.895,431.85,437.66,5557332.0
2022-02-28 19:30:00,SPY,437.67,438.19,432.67,433.84,3211299.0
2022-02-28 21:30:00,SPY,433.82,435.09,430.7,433.55,4019239.0
2022-02-28 23:30:00,SPY,433.53,436.94,431.62,436.66,3146812.0
2022-03-01 17:30:00,SPY,435.04,437.17,432.31,432.97,3999419.0
2022-03-01 19:30:00,SPY,432.99,433.04,428.28,428.33,3276758.0
2022-03-01 21:30:00,SPY,428.3,432.29,427.93,429.47,3301440.0
2022-03-01 23:30:00,SPY,429.47,430.335,427.11,430.0,2791196.0
2022-03-02 17:30:00,SPY,432.37,437.53,431.57,436.72,6058485.0
2022-03-02 19:30:00,SPY,436.74,439.07,436.26,438.5,3275638.0
2022-03-02 21:30:00,SPY,438.56,439.46,437.64,438.7,2434876.0
2022-03-02 23:30:00,SPY,438.705,439.55,437.68,437.85,2052530.0
2022-03-03 17:30:00,SPY,440.47,441.11,433.84,435.82,4117889.0
2022-03-03 19:30:00,SPY,435.8,439.25,435.08,438.88,3363454.0
2022-03-03 21:30:00,SPY,438.86,439.27,434.77,436.445,1909244.0
2022-03-03 23:30:00,SPY,436.4,436.42,433.92,435.72,2039766.0
2022-03-04 17:30:00,SPY,431.75,432.48,427.89,428.97,4698309.0
2022-03-04 19:30:00,SPY,428.97,433.37,428.02,431.77,2489334.0
2022-03-04 21:30:00,SPY,431.78,432.86,429.21,430.71,2562648.0
2022-03-04 23:30:00,SPY,430.67,432.625,429.6,432.22,1872148.0
2022-03-07 17:30:00,SPY,431.55,431.83,425.07,426.4,4569921.0
2022-03-07 19:30:00,SPY,426.37,426.49,422.06,422.92,3458727.0
2022-03-07 21:30:00,SPY,422.89,424.05,420.37,421.57,2896066.0
2022-03-07 23:30:00,SPY,421.57,421.58,419.36,419.45,2301770.0
2022-03-08 17:30:00,SPY,419.62,421.15,415.4,416.71,6235492.0
2022-03-08 19:30:00,SPY,416.68,427.2,415.12,423.71,4420255.0
2022-03-08 21:30:00,SPY,423.75,423.75,417.81,419.08,5305140.0
2022-03-08 23:30:00,SPY,419.09,419.32,416.255,416.3,2049864.0
2022-03-09 17:30:00,SPY,425.14,426.93,422.85,425.39,4461252.0
2022-03-09 19:30:00,SPY,425.4,428.74,425.39,428.29,1770838.0
2022-03-09 21:30:00,SPY,428.32,429.07,426.3,428.78,1673542.0
2022-03-09 23:30:00,SPY,428.78,429.5,426.63,427.41,2014813.0
