datetime,symbol,open,high,low,close,volume
2022-02-25 23:30:00,MSFT,296.85,297.61,296.13,297.43,292392.0
2022-02-28 17:30:00,MSFT,294.34,297.97,293.82,297.79,454567.0
2022-02-28 19:30:00,MSFT,297.87,298.49,294.39,295.4,286701.0
2022-02-28 21:30:00,MSFT,295.28,296.33,293.02,295.14,264420.0
2022-02-28 23:30:00,MSFT,295.12,299.11,293.2,298.99,346345.0
2022-03-01 17:30:00,MSFT,296.55,299.96,295.51,297.19,451504.0
2022-03-01 19:30:00,MSFT,297.23,297.23,294.3,294.3,332432.0
2022-03-01 21:30:00,MSFT,294.25,296.37,293.73,293.78,387364.0
2022-03-01 23:30:00,MSFT,293.71,295.45,292.16,294.73,273742.0
2022-03-02 17:30:00,MSFT,295.71,298.75,293.72,298.01,504643.0
2022-03-02 19:30:00,MSFT,298.05,300.58,297.7,300.04,297472.0
2022-03-02 21:30:00,MSFT,300.09,301.38,299.13,300.37,316484.0
2022-03-02 23:30:00,MSFT,300.41,301.44,299.76,300.2,286200.0
2022-03-03 17:30:00,MSFT,302.9,302.9,296.05,297.33,458745.0
2022-03-03 19:30:00,MSFT,297.32,299.37,295.71,298.2,285227.0
2022-03-03 21:30:00,MSFT,298.04,298.35,294.9,295.75,302978.0
2022-03-03 23:30:00,MSFT,295.72,296.0,294.05,295.88,207244.0
2022-03-04 17:30:00,MSFT,294.36,295.66,287.58,288.01,479440.0
2022-03-04 19:30:00,MSFT,287.85,292.53,287.175,290.4,328505.0
2022-03-04 21:30:00,MSFT,290.4,291.89,287.77,288.7,276070.0
2022-03-04 23:30:00,MSFT,288.57,290.47,287.72,289.75,247115.0
2022-03-07 17:30:00,MSFT,288.53,289.69,279.0,282.4,634363.0
2022-03-07 19:30:00,MSFT,282.42,284.44,280.91,282.58,322818.0
2022-03-07 21:30:00,MSFT,282.52,284.3,280.13,281.51,438131.0
2022-03-07 23:30:00,MSFT,281.41,281.41,278.53,279.01,381039.0
2022-03-08 17:30:00,MSFT,277.8,280.27,270.62,271.24,1141928.0
2022-03-08 19:30:00,MSFT,271.24,283.93,270.0,280.86,875452.0
