datetime,symbol,open,high,low,close,volume
2023-11-10 23:30:00,AAPL,186.11,186.57,185.96,186.38,1273195.0
2023-11-13 17:30:00,AAPL,185.77,186.03,184.21,184.76,1470808.0
2023-11-13 18:30:00,AAPL,184.77,185.14,184.395,184.96,820403.0
2023-11-13 19:30:00,AAPL,184.97,185.135,184.49,184.565,571537.0
2023-11-13 20:30:00,AAPL,184.57,184.92,184.39,184.56,401505.0
2023-11-13 21:30:00,AAPL,184.57,185.01,184.46,184.99,407571.0
2023-11-13 22:30:00,AAPL,185.0,185.07,184.73,184.96,497760.0
2023-11-13 23:30:00,AAPL,184.96,185.01,184.62,184.76,711043.0
2023-11-14 17:30:00,AAPL,187.66,187.71,186.3,187.45,2011957.0
2023-11-14 18:30:00,AAPL,187.445,187.48,186.68,186.93,699797.0
2023-11-14 19:30:00,AAPL,186.93,187.22,186.41,187.05,777911.0
2023-11-14 20:30:00,AAPL,187.06,187.5,187.02,187.45,533835.0
2023-11-14 21:30:00,AAPL,187.46,187.5,186.83,187.42,579740.0
2023-11-14 22:30:00,AAPL,187.42,188.11,187.42,187.92,1170639.0
2023-11-14 23:30:00,AAPL,187.92,188.03,187.21,187.41,1159300.0
2023-11-15 17:30:00,AAPL,187.86,188.7,187.8,188.17,1274827.0
2023-11-15 18:30:00,AAPL,188.16,189.5,188.11,189.41,1252954.0
2023-11-15 19:30:00,AAPL,189.42,189.44,188.54,189.12,858626.0
2023-11-15 20:30:00,AAPL,189.11,189.16,188.46,189.035,544665.0
2023-11-15 21:30:00,AAPL,189.03,189.08,188.4,188.77,438570.0
2023-11-15 22:30:00,AAPL,188.75,188.78,187.96,188.2,596360.0
2023-11-15 23:30:00,AAPL,188.2,188.56,187.78,188.14,1015614.0
2023-11-16 17:30:00,AAPL,189.57,190.96,189.52,190.1,2765407.0
2023-11-16 18:30:00,AAPL,190.1,190.2,188.81,189.01,1066839.0
2023-11-16 19:30:00,AAPL,189.01,189.66,188.72,189.65,710263.0
2023-11-16 20:30:00,AAPL,189.64,189.98,189.19,189.32,542918.0
2023-11-16 21:30:00,AAPL,189.32,189.56,188.99,189.36,536272.0
2023-11-16 22:30:00,AAPL,189.35,189.73,189.22,189.43,629644.0
2023-11-16 23:30:00,AAPL,189.42,189.87,189.34,189.77,922336.0
2023-11-17 17:30:00,AAPL,190.25,190.38,188.58,189.58,1447541.0
2023-11-17 18:30:00,AAPL,189.58,189.76,188.87,189.05,683086.0
2023-11-17 19:30:00,AAPL,189.06,189.46,188.82,188.96,469468.0
2023-11-17 20:30:00,AAPL,188.97,189.61,188.91,189.48,387267.0
2023-11-17 21:30:00,AAPL,189.49,189.9,189.35,189.73,505063.0
2023-11-17 22:30:00,AAPL,189.74,190.18,189.58,189.88,788105.0
2023-11-17 23:30:00,AAPL,189.89,189.96,189.52,189.71,938175.0
2023-11-20 17:30:00,AAPL,189.92,191.66,189.895,190.705,1411070.0
2023-11-20 18:30:00,AAPL,190.72,191.37,190.53,191.18,669258.0
2023-11-20 19:30:00,AAPL,191.17,191.55,191.09,191.23,523612.0
2023-11-20 20:30:00,AAPL,191.25,191.79,191.08,191.62,674339.0
2023-11-20 21:30:00,AAPL,191.62,191.77,191.33,191.51,479387.0
2023-11-20 22:30:00,AAPL,191.51,191.905,191.505,191.87,710295.0
2023-11-20 23:30:00,AAPL,191.86,191.87,191.16,191.49,824088.0
2023-11-21 17:30:00,AAPL,191.41,191.53,190.28,190.345,1166364.0
2023-11-21 18:30:00,AAPL,190.34,190.47,189.74,189.93,761278.0
2023-11-21 19:30:00,AAPL,189.96,190.32,189.82,190.27,397150.0
2023-11-21 20:30:00,AAPL,190.28,190.6,190.04,190.12,436592.0
2023-11-21 21:30:00,AAPL,190.13,190.61,190.09,190.38,430826.0
