datetime,symbol,open,high,low,close,volume
2018-03-09 17:30:00,QQQ,171.1,172.5,170.82,172.41,1762765.0
2018-03-09 21:30:00,QQQ,172.41,173.1,172.3,173.1,1469238.0
2018-03-12 16:30:00,QQQ,173.65,174.44,173.28,174.36,1521877.0
2018-03-12 20:30:00,QQQ,174.36,174.47,173.6,173.87,1501100.0
2018-03-13 16:30:00,QQQ,174.8,175.21,171.97,173.07,2502327.0
2018-03-13 20:30:00,QQQ,173.12,173.24,171.27,171.77,2152222.0
2018-03-14 16:30:00,QQQ,172.6,172.74,170.94,171.79,2606855.0
2018-03-14 20:30:00,QQQ,171.82,172.66,171.31,171.69,1550246.0
2018-03-15 16:30:00,QQQ,171.83,172.53,171.04,171.69,1467891.0
2018-03-15 20:30:00,QQQ,171.67,171.76,170.91,171.43,1137491.0
2018-03-16 16:30:00,QQQ,171.81,172.2,170.96,171.18,1495383.0
2018-03-16 20:30:00,QQQ,171.18,171.52,171.03,171.06,1125582.0
2018-03-19 16:30:00,QQQ,169.2,169.21,165.76,166.05,3564801.0
2018-03-19 20:30:00,QQQ,166.03,167.23,165.64,167.15,1911014.0
2018-03-20 16:30:00,QQQ,167.13,167.96,166.61,167.13,2258128.0
2018-03-20 20:30:00,QQQ,167.12,168.04,166.88,167.63,1279206.0
2018-03-21 16:30:00,QQQ,167.23,168.23,167.03,167.93,1353151.0
2018-03-21 20:30:00,QQQ,167.92,168.76,166.21,166.85,3008212.0
2018-03-22 16:30:00,QQQ,164.7,165.77,163.13,165.07,4547966.0
2018-03-22 20:30:00,QQQ,165.11,165.37,162.6,162.66,2676503.0
2018-03-23 16:30:00,QQQ,162.6,163.3,160.81,161.95,4432911.0
2018-03-23 20:30:00,QQQ,161.96,162.69,158.44,158.44,4252524.0
2018-03-26 16:30:00,QQQ,161.68,162.3,159.17,161.77,3532950.0
2018-03-26 20:30:00,QQQ,161.78,164.59,161.32,164.42,1686589.0
2018-03-27 16:30:00,QQQ,165.6,165.6,163.21,163.39,3129494.0
2018-03-27 20:30:00,QQQ,163.395,163.52,157.7,158.99,5221163.0
2018-03-28 16:30:00,QQQ,158.26,159.78,156.05,158.23,7931676.0
2018-03-28 20:30:00,QQQ,158.36,159.07,156.64,157.28,2537734.0
2018-03-29 16:30:00,QQQ,158.13,159.88,156.64,159.53,3835386.0
2018-03-29 20:30:00,QQQ,159.55,161.71,159.41,160.17,2804976.0
2018-04-02 16:30:00,QQQ,159.0,159.74,154.85,154.91,4929418.0
2018-04-02 20:30:00,QQQ,154.88,156.03,153.88,155.62,3575502.0
2018-04-03 16:30:00,QQQ,156.92,157.59,154.44,156.23,4274031.0
2018-04-03 20:30:00,QQQ,156.27,157.92,154.9,157.25,3042664.0
2018-04-04 16:30:00,QQQ,154.27,158.13,154.06,156.83,3688791.0
2018-04-04 20:30:00,QQQ,156.78,160.23,156.65,159.72,2192763.0
2018-04-05 16:30:00,QQQ,161.33,161.57,159.9,160.13,2751167.0
2018-04-05 20:30:00,QQQ,160.1,161.26,159.5,160.6,1983583.0
2018-04-06 16:30:00,QQQ,158.94,160.44,158.37,158.9,3025411.0
2018-04-06 20:30:00,QQQ,158.91,159.03,155.88,156.69,3654005.0
2018-04-09 16:30:00,QQQ,158.01,160.88,157.68,160.4,2061188.0
2018-04-09 20:30:00,QQQ,160.38,160.54,157.465,157.64,1736400.0
2018-04-10 16:30:00,QQQ,160.22,160.86,159.07,160.33,3330448.0
2018-04-10 20:30:00,QQQ,160.32,161.73,160.06,161.1,1794409.0
2018-04-11 16:30:00,QQQ,160.2,162.0,160.18,161.205,2778974.0
2018-04-11 20:30:00,QQQ,161.22,161.54,160.11,160.32,1616423.0
2018-04-12 16:30:00,QQQ,161.3,162.7,161.18,161.57,2228431.0
2018-04-12 20:30:00,QQQ,161.55,162.76,161.46,162.13,1309097.0
2018-04-13 16:30:00,QQQ,163.01,163.25,161.14,162.26,2808000.0
2018-04-13 20:30:00,QQQ,162.29,162.31,160.67,161.4,2227406.0
2018-04-16 16:30:00,QQQ,162.48,163.17,161.49,162.95,1975872.0
2018-04-16 20:30:00,QQQ,162.93,163.08,162.29,162.56,1164721.0
2018-04-17 16:30:00,QQQ,164.19,166.01,163.91,165.92,1987874.0
2018-04-17 20:30:00,QQQ,165.96,166.45,165.71,166.01,1422771.0
2018-04-18 16:30:00,QQQ,166.12,166.82,165.31,166.59,1879349.0
2018-04-18 20:30:00,QQQ,166.64,167.0,166.26,166.4,998538.0
2018-04-19 16:30:00,QQQ,165.65,165.98,164.36,164.415,2377784.0
2018-04-19 20:30:00,QQQ,164.43,165.44,164.34,164.98,1479216.0
2018-04-20 16:30:00,QQQ,164.49,164.61,162.08,162.74,3114608.0
2018-04-20 20:30:00,QQQ,162.73,162.98,161.74,162.39,1866470.0
2018-04-23 16:30:00,QQQ,163.08,163.72,162.03,162.34,2013694.0
2018-04-23 20:30:00,QQQ,162.35,162.54,161.03,161.9,1756205.0
2018-04-24 16:30:00,QQQ,162.62,162.9,158.51,158.71,4534634.0
2018-04-24 20:30:00,QQQ,158.72,158.91,157.39,158.5,3542466.0
2018-04-25 16:30:00,QQQ,158.8,159.26,156.49,158.41,4682141.0
2018-04-25 20:30:00,QQQ,158.42,159.3,157.97,158.72,2054711.0
2018-04-26 16:30:00,QQQ,160.72,162.07,160.18,161.98,2961055.0
2018-04-26 20:30:00,QQQ,162.005,162.53,161.81,161.97,1861970.0
2018-04-27 16:30:00,QQQ,164.35,164.39,161.17,162.11,4842209.0
2018-04-27 20:30:00,QQQ,162.08,162.4,161.74,162.1,1270365.0
2018-04-30 16:30:00,QQQ,162.47,163.48,160.54,161.09,2741542.0
2018-04-30 20:30:00,QQQ,161.06,161.64,160.77,160.89,1141910.0
2018-05-01 16:30:00,QQQ,160.52,161.47,160.14,160.72,2984112.0
2018-05-01 20:30:00,QQQ,160.69,162.8,160.68,162.7,1417721.0
2018-05-02 16:30:00,QQQ,163.1,163.28,161.89,162.78,2470193.0
2018-05-02 20:30:00,QQQ,162.82,163.56,161.63,161.81,2218451.0
2018-05-03 16:30:00,QQQ,161.08,161.91,159.22,161.46,6371114.0
2018-05-03 20:30:00,QQQ,161.47,162.4,161.36,161.79,2676675.0
2018-05-04 16:30:00,QQQ,161.13,164.54,160.98,164.25,2965984.0
2018-05-04 20:30:00,QQQ,164.25,165.25,164.25,164.88,1716609.0
2018-05-07 16:30:00,QQQ,165.65,166.72,165.52,166.24,2417802.0
2018-05-07 20:30:00,QQQ,166.25,166.78,165.545,166.15,1599115.0
2018-05-08 16:30:00,QQQ,165.83,166.43,165.1,165.7,1843196.0
2018-05-08 20:30:00,QQQ,165.77,166.12,164.87,166.0,1232795.0
2018-05-09 16:30:00,QQQ,166.4,167.57,165.78,167.56,1627726.0
2018-05-09 20:30:00,QQQ,167.56,168.0,167.56,167.88,1638432.0
2018-05-10 16:30:00,QQQ,168.43,169.71,168.29,169.51,1195142.0
2018-05-10 20:30:00,QQQ,169.49,169.73,168.91,169.62,1181836.0
2018-05-11 16:30:00,QQQ,169.35,169.86,168.85,169.22,1093597.0
2018-05-11 20:30:00,QQQ,169.14,169.48,168.72,169.44,697537.0
2018-05-14 16:30:00,QQQ,169.86,170.8,169.63,169.84,1044132.0
2018-05-14 20:30:00,QQQ,169.85,170.04,169.48,169.74,621023.0
2018-05-15 16:30:00,QQQ,168.4,168.49,167.1,167.5,3149874.0
2018-05-15 20:30:00,QQQ,167.52,167.93,166.99,167.89,1919517.0
2018-05-16 16:30:00,QQQ,168.1,169.35,168.02,169.01,1395027.0
2018-05-16 20:30:00,QQQ,169.0,169.32,168.61,168.99,629582.0
2018-05-17 16:30:00,QQQ,168.4,169.6,168.26,168.55,1512902.0
2018-05-17 20:30:00,QQQ,168.58,168.63,167.52,168.32,1096883.0
2018-05-18 16:30:00,QQQ,167.71,168.25,167.21,167.85,1907377.0
2018-05-18 20:30:00,QQQ,167.85,167.85,167.44,167.46,911185.0
2018-05-21 16:30:00,QQQ,168.73,169.48,167.69,168.54,1199225.0
2018-05-21 20:30:00,QQQ,168.57,168.62,167.72,168.42,987400.0
2018-05-22 16:30:00,QQQ,169.14,169.44,168.15,168.52,984552.0
2018-05-22 20:30:00,QQQ,168.53,168.9,167.89,168.17,597409.0
2018-05-23 16:30:00,QQQ,166.9,168.455,166.9,168.08,1483173.0
2018-05-23 20:30:00,QQQ,168.02,169.61,167.94,169.61,1355438.0
2018-05-24 16:30:00,QQQ,169.56,169.83,167.84,169.6,2124570.0
2018-05-24 20:30:00,QQQ,169.6,169.85,169.32,169.51,877775.0
2018-05-25 16:30:00,QQQ,169.54,170.325,169.22,169.97,1972163.0
2018-05-25 20:30:00,QQQ,169.94,169.94,169.52,169.73,1146771.0
2018-05-29 16:30:00,QQQ,168.91,169.915,167.97,168.73,2861013.0
2018-05-29 20:30:00,QQQ,168.73,169.16,168.02,168.95,1949250.0
2018-05-30 16:30:00,QQQ,169.63,170.48,169.22,170.24,1498625.0
2018-05-30 20:30:00,QQQ,170.26,170.4,170.1,170.17,543243.0
2018-05-31 16:30:00,QQQ,170.13,171.2,169.63,170.53,2670692.0
2018-05-31 20:30:00,QQQ,170.55,170.58,169.7,170.03,1456914.0
2018-06-01 16:30:00,QQQ,170.92,172.82,170.87,172.77,2653560.0
2018-06-01 20:30:00,QQQ,172.77,172.8,172.28,172.75,1071131.0
2018-06-04 16:30:00,QQQ,173.17,174.34,173.07,174.26,1058949.0
2018-06-04 20:30:00,QQQ,174.24,174.3,173.93,174.23,687680.0
2018-06-05 16:30:00,QQQ,174.69,175.13,174.08,174.62,1476736.0
2018-06-05 20:30:00,QQQ,174.61,174.9,174.49,174.82,631853.0
2018-06-06 16:30:00,QQQ,175.01,175.34,174.14,174.95,1583227.0
2018-06-06 20:30:00,QQQ,174.96,175.88,174.84,175.88,676290.0
2018-06-07 16:30:00,QQQ,175.9,175.92,173.8,173.88,3057375.0
2018-06-07 20:30:00,QQQ,173.87,174.665,173.56,174.48,2228162.0
2018-06-08 16:30:00,QQQ,173.55,174.46,173.19,174.33,2117915.0
2018-06-08 20:30:00,QQQ,174.34,174.69,174.12,174.43,989146.0
2018-06-11 16:30:00,QQQ,174.3,175.34,174.28,175.21,1687067.0
2018-06-11 20:30:00,QQQ,175.21,175.29,174.81,174.89,980314.0
2018-06-12 16:30:00,QQQ,175.12,175.88,174.96,175.81,1591957.0
2018-06-12 20:30:00,QQQ,175.8,175.99,175.07,175.83,1183710.0
2018-06-13 16:30:00,QQQ,176.09,177.125,175.965,176.63,1715804.0
2018-06-13 20:30:00,QQQ,176.59,176.86,175.43,175.75,3622721.0
2018-06-14 16:30:00,QQQ,176.64,177.75,176.5,177.68,2920723.0
2018-06-14 20:30:00,QQQ,177.69,177.88,177.12,177.6,1226368.0
2018-06-15 16:30:00,QQQ,176.95,177.14,176.11,177.04,2864175.0
2018-06-15 20:30:00,QQQ,177.02,177.32,176.73,177.02,1619889.0
2018-06-18 16:30:00,QQQ,175.53,176.64,174.94,176.4,2072193.0
